arch,IPC,Variant,dseed,pseed,F1 macro (%),F1 weighted (%)
dinov2_vitb,,full,,0,88.98661240570598,89.8884495529444
dinov2_vitb,,full,,1,89.33005857562566,90.45029994122822
dinov2_vitb,,full,,2,88.95708144818798,90.3845046734902
dinov2_vitb,,full,,3,89.4549309015931,90.20687482318415
dinov2_vitb,,full,,4,89.4529572039078,90.33723992254646
dinov2_vitb,1.0,real_random,3407.0,0,64.5678721517492,65.76960528890747
dinov2_vitb,1.0,real_random,3407.0,1,61.98351523354365,62.88686172234783
dinov2_vitb,1.0,real_random,3407.0,2,61.22925263149952,62.77354408724831
dinov2_vitb,1.0,real_random,3407.0,3,62.21383157984721,63.72669593226659
dinov2_vitb,1.0,real_random,3407.0,4,65.5271431552608,65.16167286182034
dinov2_vitb,1.0,real_medoids,3407.0,0,74.66466551862759,78.75924706409769
dinov2_vitb,1.0,real_medoids,3407.0,1,73.87789699946204,78.94268616842749
dinov2_vitb,1.0,real_medoids,3407.0,2,71.72003787502142,74.61553929944368
dinov2_vitb,1.0,real_medoids,3407.0,3,73.5205770573979,76.03851658447748
dinov2_vitb,1.0,real_medoids,3407.0,4,74.65676432613289,79.33727177013562
dinov2_vitb,1.0,real_random,42.0,0,58.436288876452295,70.51132441333549
dinov2_vitb,1.0,real_random,42.0,1,59.93890339255095,70.70207661440587
dinov2_vitb,1.0,real_random,42.0,2,59.68514680003416,70.2178716009359
dinov2_vitb,1.0,real_random,42.0,3,57.59047167579192,69.18759292188057
dinov2_vitb,1.0,real_random,42.0,4,57.77037257031529,71.3897738416897
dinov2_vitb,1.0,real_medoids,42.0,0,74.66466551862759,78.75924706409769
dinov2_vitb,1.0,real_medoids,42.0,1,73.87789699946204,78.94268616842749
dinov2_vitb,1.0,real_medoids,42.0,2,71.72003787502142,74.61553929944368
dinov2_vitb,1.0,real_medoids,42.0,3,73.5205770573979,76.03851658447748
dinov2_vitb,1.0,real_medoids,42.0,4,74.65676432613289,79.33727177013562
dinov2_vitb,1.0,real_random,1234.0,0,66.65381617246456,69.13498899334863
dinov2_vitb,1.0,real_random,1234.0,1,64.86705078097805,67.80417890211281
dinov2_vitb,1.0,real_random,1234.0,2,62.76958552891795,67.46067539046719
dinov2_vitb,1.0,real_random,1234.0,3,65.90365669400734,68.37973357152792
dinov2_vitb,1.0,real_random,1234.0,4,64.00790566334237,66.66972275923686
dinov2_vitb,1.0,real_medoids,1234.0,0,74.66466551862759,78.75924706409769
dinov2_vitb,1.0,real_medoids,1234.0,1,73.87789699946204,78.94268616842749
dinov2_vitb,1.0,real_medoids,1234.0,2,71.72003787502142,74.61553929944368
dinov2_vitb,1.0,real_medoids,1234.0,3,73.5205770573979,76.03851658447748
dinov2_vitb,1.0,real_medoids,1234.0,4,74.65676432613289,79.33727177013562
dinov2_vitb,1.0,real_random,2024.0,0,62.801791476461,63.72089192562629
dinov2_vitb,1.0,real_random,2024.0,1,66.36534705077001,64.63050066586054
dinov2_vitb,1.0,real_random,2024.0,2,65.36030429014951,64.46253961061731
dinov2_vitb,1.0,real_random,2024.0,3,64.70887373699537,64.0026572878703
dinov2_vitb,1.0,real_random,2024.0,4,65.27252781643959,64.19922552936478
dinov2_vitb,1.0,real_medoids,2024.0,0,74.66466551862759,78.75924706409769
dinov2_vitb,1.0,real_medoids,2024.0,1,73.87789699946204,78.94268616842749
dinov2_vitb,1.0,real_medoids,2024.0,2,71.72003787502142,74.61553929944368
dinov2_vitb,1.0,real_medoids,2024.0,3,73.5205770573979,76.03851658447748
dinov2_vitb,1.0,real_medoids,2024.0,4,74.65676432613289,79.33727177013562
dinov2_vitb,1.0,real_random,7.0,0,61.51499066206363,71.85804830603534
dinov2_vitb,1.0,real_random,7.0,1,62.76563326397462,69.92667717233209
dinov2_vitb,1.0,real_random,7.0,2,60.991309389834356,70.5487114946869
dinov2_vitb,1.0,real_random,7.0,3,62.34795299237494,71.40038262876651
dinov2_vitb,1.0,real_random,7.0,4,59.497442672861546,69.15007121602362
dinov2_vitb,1.0,real_medoids,7.0,0,74.66466551862759,78.75924706409769
dinov2_vitb,1.0,real_medoids,7.0,1,73.87789699946204,78.94268616842749
dinov2_vitb,1.0,real_medoids,7.0,2,71.72003787502142,74.61553929944368
dinov2_vitb,1.0,real_medoids,7.0,3,73.5205770573979,76.03851658447748
dinov2_vitb,1.0,real_medoids,7.0,4,74.65676432613289,79.33727177013562
dinov2_vitb,3.0,real_random,3407.0,0,69.73362771505771,75.2242570085026
dinov2_vitb,3.0,real_random,3407.0,1,69.8386371646633,74.04028013543864
dinov2_vitb,3.0,real_random,3407.0,2,71.13626117571808,76.67267794752995
dinov2_vitb,3.0,real_random,3407.0,3,70.90718311824409,75.04796573141952
dinov2_vitb,3.0,real_random,3407.0,4,68.44117906255259,73.88829251902857
dinov2_vitb,3.0,real_medoids,3407.0,0,79.59649729901442,84.40731047931318
dinov2_vitb,3.0,real_medoids,3407.0,1,80.34250077644826,84.41298330463766
dinov2_vitb,3.0,real_medoids,3407.0,2,79.48413783438632,84.7008286863304
dinov2_vitb,3.0,real_medoids,3407.0,3,81.28515146047958,85.43679318369715
dinov2_vitb,3.0,real_medoids,3407.0,4,80.38110310933007,85.09090290631484
dinov2_vitb,3.0,real_random,42.0,0,73.45630223645584,78.05181421021369
dinov2_vitb,3.0,real_random,42.0,1,75.02990757172496,78.0225869954966
dinov2_vitb,3.0,real_random,42.0,2,73.60628125002397,79.38910119368126
dinov2_vitb,3.0,real_random,42.0,3,74.86781631004501,78.00939657498024
dinov2_vitb,3.0,real_random,42.0,4,74.22019418174133,77.88888713231654
dinov2_vitb,3.0,real_medoids,42.0,0,80.35272790865315,83.73481492438425
dinov2_vitb,3.0,real_medoids,42.0,1,79.21118265150841,84.51168304930594
dinov2_vitb,3.0,real_medoids,42.0,2,79.35727786155373,84.09081507621453
dinov2_vitb,3.0,real_medoids,42.0,3,79.89455136327199,85.0462226482976
dinov2_vitb,3.0,real_medoids,42.0,4,78.79109538497057,84.76516927835118
dinov2_vitb,3.0,real_random,1234.0,0,72.51371860046994,78.49356614410806
dinov2_vitb,3.0,real_random,1234.0,1,74.270638781131,78.37998115257463
dinov2_vitb,3.0,real_random,1234.0,2,73.74546776092144,78.50903213418086
dinov2_vitb,3.0,real_random,1234.0,3,74.86048154797508,80.0603776648234
dinov2_vitb,3.0,real_random,1234.0,4,73.22207080877018,79.31171369643624
dinov2_vitb,3.0,real_medoids,1234.0,0,77.8415519104563,84.33273840965686
dinov2_vitb,3.0,real_medoids,1234.0,1,79.68883155213463,85.48199551130043
dinov2_vitb,3.0,real_medoids,1234.0,2,79.44810555309616,85.22502823346511
dinov2_vitb,3.0,real_medoids,1234.0,3,78.96813279821812,85.38174277707367
dinov2_vitb,3.0,real_medoids,1234.0,4,78.18510834477796,84.95685698727871
dinov2_vitb,3.0,real_random,2024.0,0,72.39609072046352,75.51413185112811
dinov2_vitb,3.0,real_random,2024.0,1,72.2659212147151,74.14243845289626
dinov2_vitb,3.0,real_random,2024.0,2,72.64466918832598,76.24592868264736
dinov2_vitb,3.0,real_random,2024.0,3,74.1560993487748,76.44600436299825
dinov2_vitb,3.0,real_random,2024.0,4,71.3420744154768,74.13375457255611
dinov2_vitb,3.0,real_medoids,2024.0,0,80.49162140236959,84.73350106395185
dinov2_vitb,3.0,real_medoids,2024.0,1,79.90816146002126,84.90994483793197
dinov2_vitb,3.0,real_medoids,2024.0,2,79.55874933462171,84.87981610767025
dinov2_vitb,3.0,real_medoids,2024.0,3,80.6224166985023,85.40840507174549
dinov2_vitb,3.0,real_medoids,2024.0,4,79.74178719180017,85.0427287629543
dinov2_vitb,3.0,real_random,7.0,0,67.24944084317518,60.14328135778408
dinov2_vitb,3.0,real_random,7.0,1,66.6517074964065,59.8939850760946
dinov2_vitb,3.0,real_random,7.0,2,66.42199614071933,57.813954940060555
dinov2_vitb,3.0,real_random,7.0,3,65.68068313772571,58.924559035930876
dinov2_vitb,3.0,real_random,7.0,4,67.93874923086618,61.76432666268526
dinov2_vitb,3.0,real_medoids,7.0,0,79.5156982542976,83.7925463761173
dinov2_vitb,3.0,real_medoids,7.0,1,80.72775870810878,84.5886975611532
dinov2_vitb,3.0,real_medoids,7.0,2,79.68736620193661,83.82054880428144
dinov2_vitb,3.0,real_medoids,7.0,3,81.58768849679505,84.54100025711072
dinov2_vitb,3.0,real_medoids,7.0,4,80.42100038417604,84.99469285738813
dinov2_vitb,5.0,real_random,3407.0,0,76.62760674456678,73.82907044011662
dinov2_vitb,5.0,real_random,3407.0,1,76.98366422739801,73.7277800033377
dinov2_vitb,5.0,real_random,3407.0,2,76.63695166724052,74.00690528069951
dinov2_vitb,5.0,real_random,3407.0,3,77.15532932390114,74.75684250873988
dinov2_vitb,5.0,real_random,3407.0,4,77.40337402940072,75.07825740667677
dinov2_vitb,5.0,real_medoids,3407.0,0,83.03478673148615,85.03117634871431
dinov2_vitb,5.0,real_medoids,3407.0,1,81.16993009758487,84.53434369790462
dinov2_vitb,5.0,real_medoids,3407.0,2,81.81626709573703,84.32392452767814
