arch,IPC,Variant,macro_mean,macro_std,weighted_mean,weighted_std,n,F1 macro,F1 weighted
clip_vitb,1.0,real_medoids,40.65396610849545,0.0,48.76719904371989,0.0,5,40.65 ± 0.00,48.77 ± 0.00
clip_vitb,1.0,real_random,32.72369763802362,3.6963780358706546,43.109795518822295,6.5182171065541565,5,32.72 ± 3.70,43.11 ± 6.52
clip_vitb,3.0,real_medoids,49.93381441546898,1.0134038340306142,59.76500771916396,2.067382240135751,5,49.93 ± 1.01,59.77 ± 2.07
clip_vitb,3.0,real_random,47.923453826591675,3.4726779731941937,54.99750453577508,6.58109238775367,5,47.92 ± 3.47,55.00 ± 6.58
clip_vitb,5.0,real_medoids,56.77290923724547,0.5054886011372133,64.57240241413191,0.6565924139638954,5,56.77 ± 0.51,64.57 ± 0.66
clip_vitb,5.0,real_random,50.01866721941603,1.0432460249472997,60.853774039751706,2.3380341912821194,5,50.02 ± 1.04,60.85 ± 2.34
clip_vitb,,full,72.9939938077223,,83.40126256345022,,1,72.99,83.40
dinov2_vitb,1.0,real_medoids,73.68798835532837,0.0,77.53865217731638,0.0,5,73.69 ± 0.00,77.54 ± 0.00
dinov2_vitb,1.0,real_random,62.5908394503472,2.611939064784379,67.4270409895486,3.1894130017081523,5,62.59 ± 2.61,67.43 ± 3.19
dinov2_vitb,3.0,real_medoids,79.80360815763716,0.6355725492740351,84.73151068623704,0.32881039133822076,5,79.80 ± 0.64,84.73 ± 0.33
dinov2_vitb,3.0,real_random,71.46388796088574,3.0805383134328523,73.4404918094205,7.875452470915636,5,71.46 ± 3.08,73.44 ± 7.88
dinov2_vitb,5.0,real_medoids,81.971155703741,0.47018155171989146,84.61655484600037,0.11592776999768863,5,81.97 ± 0.47,84.62 ± 0.12
dinov2_vitb,5.0,real_random,75.69386193455226,2.2664575379979306,75.72599551048145,2.6790392568268504,5,75.69 ± 2.27,75.73 ± 2.68
dinov2_vitb,,full,89.2363281070041,,90.25347378267868,,1,89.24,90.25
mocov3_vitb,1.0,real_medoids,60.94378371437581,0.0,72.98057285539123,0.0,5,60.94 ± 0.00,72.98 ± 0.00
mocov3_vitb,1.0,real_random,46.799693673989,5.156436111835404,54.84469791426644,5.807213010929492,5,46.80 ± 5.16,54.84 ± 5.81
mocov3_vitb,3.0,real_medoids,63.25682371038981,0.31772998408175024,73.05744194642841,0.6390758481142895,5,63.26 ± 0.32,73.06 ± 0.64
mocov3_vitb,3.0,real_random,57.64765984726601,1.982209853817637,63.255714473542696,8.462615999021972,5,57.65 ± 1.98,63.26 ± 8.46
mocov3_vitb,5.0,real_medoids,67.89611897525174,0.3320017889442275,74.45932988179013,1.2636306344000003,5,67.90 ± 0.33,74.46 ± 1.26
mocov3_vitb,5.0,real_random,61.23977236000751,1.30409769216133,70.3538722359196,1.2094119373774934,5,61.24 ± 1.30,70.35 ± 1.21
mocov3_vitb,,full,82.25950915060159,,87.25793691139893,,1,82.26,87.26
